title,year,description,genre
the wolfman,2010,Po powrocie w rodzinne strony Lawrence zostaje ugryziony przez wilkołaka. Mężczyzna przechodzi przemianę.,horror
the mask of zorro,1998,"Gubernator w Meksyku, Montero, morduje żonę Zorro, porywa córkę, a jego samego wtrąca do więzienia. Po latach Don Diego szuka następcy, który zemści się na wrogu.",adventure
wkreceni,2013,"Zwolnieni pracownicy fabryki samochodów postanawiają wydać swoje odprawy na szalony wyjazd do Warszawy. W małym miasteczku, gdzie się zatrzymują, przypadkowo zostają wzięci za biznesmenów.",comedy
"galimatias, czyli kogel-mogel ii",1989,"Państwo Wolańscy proszą Kasię, która u nich pracowała, aby przyjęła do siebie na czas wakacji ich synka Piotrusia oraz jego babcię.",comedy
the commuter,2018,"Historia agenta ubezpieczeniowego, który podróżuje codziennie pociągiem do pracy. Pewnego dnia zostaje wciągnięty w kryminalną intrygę przez jedną pasażerkę pociągu.",thriller
saw iii,2006,"Młoda lekarka zostaje porwana i zmuszona do zajmowania się umierającym Jigsawem, póki nowa gra nie dobiegnie końca.",horror
mission: impossible iii,2006,"Ethan Hunt powraca, aby pokrzyżować plany bezwzględnego handlarza bronią, Owena Daviana. &nbsp;",thriller
miracles from heaven,2016,Cierpiąca na rzadką chorobę zaburzenia trawienia dziesięcioletnia dziewczynka ulega groźnemu wypadkowi. Niespodziewanie po tym wydarzeniu dochodzi do jej cudownego uzdrowienia. ,drama
the boy,2016,"Młoda Amerykanka opiekuje się lalką, która należy do zdziwaczałych londyńczyków. Wkrótce dziewczyna odkrywa, dlaczego rodzina traktuje kukłę jak własne dziecko.",horror
my blueberry nights,2007,"Zdradzona kobieta wyrusza autostradą numer 66 na poszukiwanie prawdziwej miłości. Podróż, w której spotyka wielu inspirujących ludzi, rozpoczyna się od rozmowy z właścicielem kawiarni przy kawałku jagodowego placka.",romance
rambo,2008,"John Rambo musi zmierzyć się z birmańskimi żołnierzami, którzy więżą chrześcijańskich misjonarzy. ",action
the break-up,2006,Gary i Brooke rozstają się po wieloletnim związku. Jednak żadne z nich nie zamierza opuścić dotychczasowego domu.,comedy
mission: impossible - fallout,2018,"Konsekwencje zakończonej niepowodzeniem misji IMF może odczuć cały świat. Aby zapobiec katastrofie, Ethan Hunt i jego zespół muszą stanąć do wyścigu z czasem.",thriller
horrible bosses 2,2014,"Nick, Dale i Kurt chcą założyć własny biznes, ale sprytny inwestor niweczy ich plany. Zdesperowani planują porwanie syna przedsiębiorcy, by odzyskać kontrolę nad firmą.",comedy
serena,2014,"Życie George'a Pembertona, właściciela imperium składów drewna, komplikuje się, kiedy poznaje piękną i tajemniczą Serenę.",drama
house of wax,2005,"Grupie przyjaciół psuje się auto. Szukając pomocy, trafiają do miasteczka pełnego figur woskowych.",horror
five feet apart,2019,"Życie chorej na mukowiscydozę Stelli Grant ulega zmianie, gdy podczas pobytu w szpitalu poznaje pacjenta Willa Newmana.",drama
die another day,2002,Agent 007 musi odzyskać zaufanie przełożonych i odnaleźć zdrajcę w szeregach MI6.,thriller
oculus,2013,"Kaylie Russell&nbsp;stara się oczyścić z zarzutów skazanego za morderstwo brata. Chce dowieść, że przestępstwo zostało popełnione przez istoty nadprzyrodzone.",horror
you will meet a tall dark stranger,2010,"Po tym jak Helena zostaje porzucona przez męża dla młodej dziewczyny, powierza swój los wróżce.",comedy
the beguiled,2017,Ranny żołnierz trafia na rekonwalescencję do żeńskiej szkoły z internatem. Pojawienie się mężczyzny zmienia pełną kobiet placówkę.,drama
"new york, i love you",2008,"Kilka osób, które kochają Nowy Jork, szukają tu miłości albo już ją znalazły. Są wśród nich: młoda Żydówka szykująca się do ślubu, nastolatek idący na bal maturalny i zapomniana śpiewaczka wspominająca czasy swej świetności.",drama
the trial of the chicago 7,2020,"Pokojowy protest przerodził się w brutalne starcie z policją, a jego organizatorzy stanęli przed sądem. Tak rozpoczął się jeden z najgłośniejszych procesów w historii.",drama
wrong turn,2003,"Grupie znajomych i przypadkowemu lekarzowi przychodzi walczyć o życie ze zdeformowanymi kanibalami, mieszkającymi na odludziu.",horror
psy 3. w imie zasad,2020,"Po 25 latach odsiadki Franz Maurer wkracza w nową Polskę, gdzie nic nie jest takie, jak zapamiętał. Wkrótce ponownie spotyka Nowego.",thriller
october baby,2011,"Kiedy nastolatka dowiaduje się, że została adoptowana, wraz z przyjacielem wyrusza do Alabamy, by odnaleźć biologiczną matkę. ",drama
little fockers,2010,"Greg traci ciężko zdobyte zaufanie swojego teścia, gdyż ten podejrzewa go o romans z seksowną współpracownicą. ",comedy
manhattan,1979,Dwukrotnie rozwiedziony nowojorczyk zakochuje się w dziewczynie swojego najlepszego przyjaciela.,comedy
rozmowy kontrolowane,1991,"Ryszard Ochódzki wyjeżdża do Suwałk, by przeniknąć do tamtejszych struktur Solidarności. W wyniku zbiegu okoliczności zmuszony jest uciekać przed milicją.&nbsp;",comedy
shelter,2010,"Psychiatra Cara dostaje pod opiekę mężczyznę z osobowością mnogą. Wkrótce odkrywa, że wszystkie wcielenia pacjenta są ze sobą połączone.",horror
a good day to die hard,2013,"John McClane udaje się do Rosji, w której wraz ze swoim synem Jackiem - agentem CIA, stara się zapobiec kradzieży przez grupę terrorystów broni nuklearnej.&nbsp;",thriller
hot fuzz,2007,Policjant z Londynu zostaje przeniesiony do małego miasta. Wraz ze swoim nowym partnerem próbują wyjaśnić serię podejrzanych wypadków i zdarzeń. ,comedy
me and earl and the dying girl,2015,"Życie Grega, unikającego głębszych relacji z innymi, zmienia się, kiedy postanawia dotrzymać towarzystwa chorej na raka Rachel.",drama
juste la fin du monde,2016,"Chory pisarz Louis wraca do rodzinnego miasteczka, aby oświadczyć swojej rodzinie, że umiera.",drama
lethal weapon 3,1992,Riggs i Murtaugh prowadzą śledztwo w sprawie kradzieży broni z policyjnych magazynów. ,comedy
kac wawa,2011,Pięciu przyjaciół spędza wieczór kawalerski w apartamencie. ,comedy
crimson tide,1995,Na odciętym od świata atomowym okręcie podwodnym USS Alabama dochodzi do konfliktu oficerów podczas wojny domowej w Rosji.,thriller
the heat,2013,"Agentka FBI współpracuje z panią oficer bostońskiej policji, aby zlikwidować rosyjskiego gangstera. ",comedy
meet the spartans,2008,Leonidas prowadzi grupę trzynastu Spartan do walki przeciwko Persom.,comedy
dlaczego nie!,2007,Małgosia po zrobieniu dyplomu przyjeżdża do Warszawy i stara się o wymarzoną pracę.,comedy
last night,2010,"Michael wyjeżdża w podróż służbową z atrakcyjną współpracowniczką, a jego żona spotyka swoją dawną miłość.",drama
like crazy,2011,"Brytyjska studentka zakochuje się w Amerykaninie. Gdy jej wiza traci ważność, kochankowie zostają rozdzieleni. ",drama
scary movie 5,2013,"Kiedy młode małżeństwo adoptuje troje dzieci, w ich domu dochodzi do dziwnych zdarzeń. Z pomocą sztabu operatorów kamer odkrywają, że zostali nawiedzeni przez demona. ",comedy
sunshine,2007,Grupa kosmonautów musi dostarczyć na Słońce ładunek jądrowy.,sci-fi
the final destination,2009,"Podczas oglądania wyścigów samochodowych młody mężczyzna doświadcza wizji, w której widzi śmierć setek ludzi na trybunach. Przeczucie powoduje, że wraz z przyjaciółmi opuszcza widownię. ",horror
climax,2018,"Choreograf Selva i DJ Daddy przesłuchują kulkunastu tancerzy, szukając potencjalnych członków swojej nowej grupy. Po wyczerpującym treningu rozpoczynają z nimi imprezę, orientując się, że do sangrii ktoś wrzucił LSD.",drama
suffragette,2015,Sufrażystki zostają zmuszone do działania w podziemiu oraz gry w kotka i myszkę z coraz bardziej brutalnym państwem.,drama
8mm,1999,"Tom Welles otrzymuje zlecenie od żony zmarłego milionera. Ma odnaleźć zamordowaną dziewczynę, której zabójstwo zarejestrowano na taśmie odnalezionej w sejfie męża. ",thriller
flightplan,2005,Podczas lotu samolotem córka Kyle Pratt znika bez śladu. ,thriller
the texas chainsaw massacre,2003,Grupa przyjaciół musi stawić czoło psychopacie uzbrojonemu w piłę mechaniczną.,horror
per un pugno di dollari,1964,"Samotny rewolwerowiec przybywa do małego miasteczka, w którym dwie bandy przemytników toczą ze sobą wojnę. ",western
the big sick,2017,"Para zmaga się z dzielącymi ją różnicami kulturowymi, w miarę umacniania się związku.",comedy
a nightmare on elm street,2010,Czworo nastolatków z ulicy Wiązów jest nawiedzanych w snach przez mężczyznę o zniekształconej i poparzonej twarzy.,horror
thats my boy,2012,"Kiedy urząd podatkowy ustala ostateczny termin spłaty długów, spłukanemu Donny'emu nie pozostaje nic innego, jak wprosić się na ślub dawno niewidzianego syna. ",comedy
the whole nine yards,2000,Fajtłapowaty dentysta rozpoznaje w swoim sąsiedzie płatnego zabójcę. ,comedy
a most wanted man,2014,"Czeczen wyznania muzułmańskiego nielegalnie imigruje do Hamburga, gdzie zostaje wplątany w prowadzoną przez służby wywiadowcze wojnę z międzynarodowym terroryzmem. ",thriller
matchstick men,2003,"Neurotyczny naciągacz Roy dowiaduje się, że ma czternastoletnią córkę. Z czasem dziewczyna zostaje jego wspólniczką w oszustwach. ",comedy
veronika decides to die,2009,Weronika po próbie samobójczej trafia do zakładu dla umysłowo chorych i zaczyna dostrzegać życie z nowej perspektywy.,drama
the northman,2022,"Islandia, X wiek. Książę Wikingów szuka zemsty na mordercach ojca.",drama
the riot club,2014,"Pochodzący z zamożnych rodzin Miles i Alistair rozpoczynają naukę na Oksfordzie. Wstępują również do klubu Riot, w którym członkowie uważają, że wszystko można zdobyć za pieniądze.",drama
the family,2013,"Objęty programem ochrony świadków były mafioso żyje w Normandii, próbując wraz z rodziną przystosować się do nowych warunków. ",comedy
analyze this,1999,"Miewający napady paniki gangster zgłasza się na terapię do psychiatry, co staje się przyczyną wielu zabawnych zdarzeń. ",comedy
the three musketeers,2011,Młody D'Artagnan zaprzyjaźnia się z trójką legendarnych muszkieterów. Razem muszą zapobiec wojnie w Europie.,adventure
the invisible man,2020,"Po zerwaniu toksycznej relacji mąż Cecilii, naukowiec-wynalazca popełnia samobójstwo. Od tej pory zaczynają ją prześladować dziwne zdarzenia. ",horror
evil dead,2013,Podczas pobytu w leśnej chacie grupa nastolatków przez przypadek przywołuje z zaświatów demona.,horror
fanny och alexander,1982,"Ojciec dwojga rodzeństwa przedwcześnie umiera. Gdy matka po niedługim czasie ponownie wychodzi za mąż, ojczym terroryzuje dzieci. ",drama
bean,1997," Nieudolny Jaś Fasola przybywa do Ameryki, gdzie dostaje odpowiedzialne zadanie opieki nad cennym obrazem zakupionym przez muzeum w Los Angeles.",comedy
kochaj albo rzuc,1977,"Pawlak i Kargul, wraz z wnuczką Anią, lecą do Chicago na zaproszenie Johna, brata Kazimierza. ",comedy
gone,2012,"Jill odkrywa, że jej siostra została porwana. Kobieta podejrzewa, iż uprowadził ją ten sam psychopatyczny morderca, z rąk którego uciekła rok wcześniej. ",thriller
the neon demon,2016,"Jesse przyjeżdża do Los Angeles, aby rozpocząć karierę modelki. Wkrótce spotyka grupę kobiet owładniętych obsesją cielesnego piękna, które zaczynają żerować na jej młodości i witalności. ",thriller
and now for something completely different,1971,Grupa Monty Pythona prezentuje najlepsze skecze ze swojego serialu.,comedy
konwoj,2016,"Dyrektor więzienia ściąga doświadczonego strażnika do transportu groźnego więźnia. Wkrótce dowiaduje się, że nieoczekiwanie w skład ekipy konwojentów wszedł też jego zięć. ",thriller
under the silver lake,2018,Zniknięcie tajemniczej kobiety z sąsiedztwa budzi w hedonistycznym Samie detektywa. ,crime
the grudge,2004,"Karen zaczyna pracę jako pielęgniarka w tajemniczym, zaklętym domu.",horror
bad boys for life,2020,"Gdy z więzienia ucieka pałająca żądzą zemsty baronowa narkotykowego kartelu, bohaterowie stają przed największym wyzwaniem w swojej dotychczasowej karierze.",thriller
la cara oculta,2011,"Belén, narzeczona młodego hiszpańskiego dyrygenta filharmonii, znika bez śladu w niewyjaśnionych okolicznościach. On szybko układa sobie życie z inną kobietą. ",thriller
out of the furnace,2013,"Rodney Baze znika bez śladu. Jego starszy brat Russell bierze sprawy w swoje ręce, próbując dowiedzieć się prawdy i wymierzyć sprawiedliwość. ",thriller
i spit on your grave,2010," Młoda pisarka wyjeżdża na weekend do domku w lesie, gdzie zostaje brutalnie zgwałcona. Kobieta postanawia dokonać krwawej zemsty. ",thriller
mechanic: resurrection,2016,"Zabójca wykonuje niezwykle trudne zlecenia, aby uratować ukochaną. ",action
hercules,2014,"Herkules, grecki półbóg, razem z towarzyszami zostaje wynajęty przez króla Tracji, aby szkolił jego armię. ",adventure
mud,2012," Uciekający przed wymiarem sprawiedliwości Mud trafia na dwóch chłopców, którzy postanawiają mu pomóc. ",drama
youre not you,2014,Młoda dziewczyna zostaje opiekunką śmiertelnie chorej kobiety. ,drama
superbad,2007,"Evan i Seth, dwaj najlepsi kumple, są uczniami ostatniej klasy liceum. Przed zakończeniem szkoły rozpoczynają przygotowania do niezapomnianej imprezy.",comedy
ali g indahouse,2002,"Raper z ubogiej dzielnicy rozpoczyna protest mający na celu uratowanie prowadzonej przez niego szkoły. Zdobywając popularność oraz poparcie, nieświadomie zostaje wciągnięty w polityczną intrygę.",comedy
uncharted,2022,Utalentowany złodziej Nathan Drake zostaje zwerbowany przez doświadczonego poszukiwacza skarbów Victora Sullivana. Razem chcą odnaleźć zaginione złoto Ferdynanda Magellana.,adventure
rambo: first blood part ii,1985,"John Rambo, w zamian za wyjście z więzienia, zgadza się na odszukanie amerykańskich jeńców wojennych przetrzymywanych na terenie Wietnamu.",action
a simple favor,2018,Stephanie rozpoczyna prywatne śledztwo w sprawie nagłego zniknięcia jej najlepszej przyjaciółki Emily.,comedy
mona lisa smile,2003,"Rok 1953. Nauczycielka historii sztuki stara się wyzwolić swoje uczennice, pokazując im, że życie nie kończy się na małżeństwie i dzieciach. ",drama
the magnificent seven,1960,"Spokojna, rolnicza wioska jest terroryzowana przez bandę opryszków.&nbsp;Mieszkańcy postanawiają wynająć siedmiu rewolwerowców, którzy mają rozprawić się z agresorami. ",western
lolita,1962,"Po przeprowadzce do Stanów wykładowca akademicki wynajmuje pokój w niewielkim mieszkaniu. Zafascynowany nastoletnią córką właścicielki postanawia ożenić się z jej matką, by móc być bliżej dziewczyny. ",drama
a perfect murder,1998,Steven odkrywa zdradę żony i postanawia wynająć płatnego mordercę. Specjalnie do tego celu wybiera jej kochanka. ,thriller
hostel,2005,Trzech przyjaciół jedzie na wakacje do Słowacji. Wkrótce zostają porwani i przeniesieni w sam środek piekła.,horror
smolensk,2016,Młoda dziennikarka na własną rękę prowadzi dochodzenie w sprawie katastrofy smoleńskiej.,drama
the forest,2016,"Młoda Amerykanka przyjeżdża do mrocznego lasu Aokigahara leżącego w Japonii, aby odnaleźć zaginioną siostrę. ",horror
edi,2002,Dwaj bezdomni śmieciarze zostają zmuszeni do zaopiekowania się dzieckiem siostry gangsterów.,drama
28 weeks later,2007,"Śmiercionośny wirus atakujący Wielką Brytanię zostaje pokonany. Kiedy ludzie odbudowują kraj, na ich terytorium wkracza zakażony człowiek. ",horror
central intelligence,2016,Po odnowieniu kontaktu ze starym znajomym przez Facebooka księgowy zostaje zwerbowany do międzynarodowego wywiadu.,comedy
all about eve,1950,"Życie aktorki Margo Channing to pasmo sukcesów, zarówno w życiu prywatnym, jak i zawodowym do czasu, kiedy poznaje swoją fankę, ambitną Ewę Harrington.&nbsp; ",drama
birdy,1984,"Weteran wojenny stara się pomóc przyjacielowi, który po powrocie z Wietnamu utracił kontakt z rzeczywistością. ",drama
nieulotne,2013,Michał i Karina poznają się na wakacjach w Hiszpanii. W beztroski czas i rajski krajobraz wdziera się jednak rzeczywistość rodem z najgorszego snu.,drama
funny games u.s.,2007,"Szczęśliwa rodzina spędza czas nad jeziorem. Spokojne chwile przerywa wizyta dwóch dziwnie zachowujących się młodzieńców, którzy wciągają ich w pełną przemocy grę. ",drama
the big wedding,2013,"Nienawidzący się wzajemnie rozwiedzeni Don i Ellie muszą udawać na ślubie swojego adoptowanego syna, że wciąż są małżeństwem.",comedy
marvins room,1996,"Bessie nie założyła rodziny, gdyż od lat opiekuje się obłożnie chorym ojcem. Gdy odkrywa, że ma białaczkę, prosi o pomoc niewidzianą od dawna siostrę.",drama
plynace wiezowce,2013,"Kiedy Kuba poznaje na imprezie Michała, jego uporządkowane życie i stały związek z Sylwią wywraca się do góry nogami. ",drama
die welle,2008,"Nauczyciel historii, chcąc wyjaśnić swoim uczniom niebezpieczeństwa płynące z nazizmu, przeprowadza eksperyment, który wymyka się spod kontroli. ",drama
street kings,2008,"Policjant, badając sprawę śmierci kolegi po fachu, wpada na trop afery korupcyjnej w swojej jednostce. ",thriller
whats your number?,2011,"Ally przeżywa kryzys z powodu utraty pracy i samotności. Postanawia przy pomocy sąsiada odnaleźć wszystkich&nbsp;byłych&nbsp;chłopaków, by upewnić się, że dobrze zrobiła, zostawiając ich.",comedy
sinister 2,2015,"Zwolniony z pracy zastępca szeryfa kontynuuje śledztwo, podążając tropem demona Bhugula. Chcąc przerwać serię morderstw, trafia do domu zamieszkałego przez Courtney i jej dwóch synów.&nbsp;",horror
cellular,2004,Porwanej przez tajemniczych sprawców Jessice Martin udaje się nawiązać połączenie telefoniczne z przypadkowym mężczyzną. Postanawia on pomóc kobiecie. ,thriller
insidious: chapter 2,2013,"Po dwóch latach od przerażających wydarzeń rodzinę Lambertów ponownie nawiedza duch młodej kobiety ubranej w białą suknię, która nuci dziecięcą melodię.",horror
dumb and dumber to,2014,"Zwariowani przyjaciele&nbsp;udają się na poszukiwania nieślubnej córki Harry'ego, który potrzebuje przeszczepu nerki.",comedy
tag,2018,Grupka przyjaciół z dawnej szkoły organizuje grę w berka rozgrywaną na terenie całego kraju. ,comedy
trainwreck,2015,"Amy to kobieta marzenie z idealnym życiem zawodowym i towarzyskim, ale nie radzi sobie ze sprawami osobistymi. ",comedy
na granicy,2016,"W odciętej od cywilizacji bieszczadzkiej chacie dwaj bracia i ojciec spotykają tajemniczego nieznajomego, który sprowadza na nich niebezpieczeństwo. ",thriller
agora,2009,Hypatia próbuje uratować od zapomnienia dorobek greckiej nauki i filozofii. Tymczasem w Aleksandrii dochodzi do sporów między poganami a chrześcijanami.,drama
cry-baby,1990,"Społeczny wyrzutek, którego rodzice zostali straceni na krześle elektrycznym, zakochuje się w dziewczynie z dobrego domu.&nbsp;",musical
"bang, bang, youre dead",2002,Nazywany przez rówieśników szkolnym terrorystą chłopak dostaje główną rolę w kontrowersyjnym spektaklu.,drama
tomorrow never dies,1997,"Szalony&nbsp;magnat&nbsp;medialny&nbsp;Elliot Carver chce wywołać wojnę między Wielką&nbsp;Brytanią a Chinami, tylko agent James Bond może go&nbsp;powstrzymać.",thriller
adrift,2018,Dwoje zakochanych młodych żeglarzy wyrusza w rejs przez Pacyfik do odległej o tysiące kilometrów Kalifornii. Zmierzają w kierunku jednego z największych huraganów w historii.,drama
parker,2013,"Oszukany przez byłych kompanów i pozostawiony na pewną śmierć zawodowy złodziej powraca do gry, planując rewanż.",thriller
lethal weapon 4,1998,"Policjanci Martin Riggs i Roger Murtaugh muszą zbadać sprawę serii morderstw ludzi powiązanych z azjatycką mafią, która zajmuje się handlem żywym towarem.",comedy
a rainy day in new york,2019,"Gdy dwoje młodych ludzi przyjeżdża na weekend do Nowego Jorku, miasto wita ich niepogodą i serią przygód. ",comedy
the libertine,2004,"Hrabia John Wilmot wiedzie życie pełne rozpusty i wszelkich używek, a w swoich utworach literackich nierzadko ośmiesza samego króla. ",drama
wymyk,2011,"Alfred i Jerzy mają różne wizje prowadzenia przekazanej im przez ojca firmy. Awaria auta zmusza ich do podróży koleją, gdzie ma miejsce tragedia. ",drama
final destination 5,2011,"Jadąc autobusem przez most, Sam doświadcza wizji, w której konstrukcja się zawala. Przeczucie powoduje, że wraz z przyjaciółmi opuszcza pojazd. ",horror
chernobyl diaries,2012,"Sześcioro młodych ludzi, szukających ekstremalnych wrażeń, wynajmuje przewodnika. Ten, mimo surowych zakazów, zabiera ich do owianego tajemnicą miasta-widmo.",horror
the wedding planner,2001,"Mary jest organizatorką ślubów, choć sama jeszcze nie wyszła za mąż. Gdy poznaje przystojnego doktora, odkrywa, że to jego wesele wkrótce ma zorganizować. ",comedy
carrie,1976,Ekranizacja powieści Stephena Kinga. Prześladowana przez rówieśników Carrie odkrywa w sobie paranormalne zdolności. ,horror
magic mike xxl,2015,Gotowi zakończyć karierę członkowie Kings of Tampa postanawiają dać&nbsp;z wielkim rozmachem&nbsp;ostatni występ.,comedy
festen,1998,Helge kończy 60 lat. Podczas przyjęcia urodzinowego na jaw wychodzą niewygodne sekrety z życia jego rodziny. ,drama
les innocentes,2016,Polskie zakonnice zgwałcone przez czerwonoarmistów ukrywają swoją sytuację przed wszystkimi. Jedynie francuskiej lekarce z misji Czerwonego Krzyża udaje się pomóc kobietom w habitach. ,drama
freaky friday,2003,"Pomiędzy przepracowaną matką a jej nastoletnią córką nie ma nici porozumienia. Gdy niespodziewanie zamieniają się ciałami, każda patrzy na życie drugiej z innej perspektywy. ",comedy
scoop,2006,"Studentka dziennikarstwa szuka wielkiego tematu, który otworzy jej drogę do kariery. Trafia w sam środek śledztwa nad tajemniczymi morderstwami.",comedy
the unborn,2009,"Młoda kobieta musi stawić czoła nadprzyrodzonej istocie, która powoli opanowuje jej ciało.",horror
palm springs,2020,Dwoje gości weselnych zostaje uwięzionych w pętli czasowej.&nbsp;Pomiędzy skazanymi na siebie ludźmi zaczyna rodzić się uczucie.,comedy
my own private idaho,1991,"Dwóch przyjaciół wyrusza w podróż, której celem jest odszukanie matki jednego z nich.",drama
the mountain between us,2017,Para obcych sobie ludzi przeżywa katastrofę samolotu w górach. Są zdani sami na siebie i mimo poważnych obrażeń muszą walczyć o przeżycie. ,drama
salo o le 120 giornate di sodoma,1975,"Włochy, 1944 rok. Książę, bankier, biskup i sędzia organizują orgię, wykorzystując do tego lokalnych mieszkańców.",drama
i feel pretty,2018,"Przeciętna Renee pewnego dnia spada z roweru treningowego, uderza się w głowę i traci przytomność. Gdy odzyskuje świadomość zaczyna się jej wydawać, że jest niespotykanie piękna. ",comedy
reign over me,2007,Charlie stracił rodzinę podczas zamachu na World Trade Centre. Spotkanie z przyjacielem ze studiów rozpoczyna proces przezwyciężenia żałoby.,drama
"dzien dobry, kocham cie!",2014,Lekarz Szymon spotyka Basię - miłośniczkę jazdy na rolkach i od razu zakochuje się w niej. Ich miłości może jednak zaszkodzić playboy Leon. ,comedy
paranormal activity 2,2010,Rodzina Reyów wprowadza się do nowego domu na przedmieściach. Już drugiego dnia zastają całkowicie zdemolowane mieszkanie. ,horror
solace,2015, Posiadający niezwykłe zdolności doktor pomaga FBI w schwytaniu groźnego seryjnego mordercy. ,thriller
my best friends wedding,1997,Julianne nie chce dopuścić do ślubu swojego przyjaciela z bogatą Kimberly. ,comedy
fotograf,2014,"Historia nieuchwytnego moskiewskiego mordercy, który na miejscu zbrodni pozostawia kartoniki z numerami.",crime
mike and dave need wedding dates,2016,Dwaj bracia poszukują idealnych partnerek na wesele siostry. Zamieszczają ogłoszenie w internecie. ,comedy
midnight cowboy,1969,"Joe Buck wyrusza z Teksasu do Nowego Jorku, by zarabiać jako uliczny żigolak. Na miejscu poznaje ciemną stronę metropolii.",drama
failure to launch,2006,"Rodzice Trippa pragną, by ich trzydziestopięcioletni syn w końcu się usamodzielnił. Podstępem wprowadzają w jego życie kobietę idealną - Paulę.",comedy
verdens verste menneske,2021,Pełna życiowej energii Julie u progu trzydziestych urodzin stara się poukładać swoje skomplikowane życie uczuciowe. ,comedy
the ballad of buster scruggs,2018,"Bracia Coenowie opowiadają o&nbsp;przygodach amerykańskich pionierów i&nbsp;bandytów na&nbsp;Dzikim Zachodzie, sprawnie lawirując między żartem i&nbsp;absurdem a&nbsp;poważniejszymi klimatami.",western
"legally blonde 2: red, white &amp; blonde",2003,"Blond prawniczka, Elle, wyrusza do Waszyngtonu, by w kongresie walczyć o prawa zwierząt.",comedy
the horse whisperer,1998,"Grace w czasie jazdy konnej wpada pod ciężarówkę. Kiedy dziewczyna traci nogę, a koń zostaje poważnie okaleczony, matka znajduje zaklinacza. ",drama
two night stand,2014,Po przypadkowo spędzonej nocy dwoje nieznajomych zostaje uwięzionych w mieszkaniu na Brooklynie przez szalejącą śnieżycę. ,comedy
machete kills,2013,Dwóch psychopatów zagraża całemu światu. Tylko brutalny meksykański agent może zażegnać globalny konflikt.,action
the possession,2012,"Em kupuje na wyprzedaży antyczną skrzynkę, która ma na nią niepokojący wpływ. Wkrótce okazuje się, że dziewczynka jest opętana przez dybuka, złośliwego ducha zmarłej osoby.",horror
the heartbreak kid,2007,"Podczas miesiąca miodowego Eddie odkrywa, że Lila nie jest jego drugą połówką. ",comedy
"love, simon",2018,"Siedemnastoletni Simon Spier jest gejem, ale nie powiedział o tym jeszcze nikomu ze swego otoczenia. Nie wie także, kim jest anonimowy kolega z klasy, w którym zakochał się, poznając go w internecie.",drama
the strangers,2008,"Historia dwojga ludzi, którzy w domu na odludziu muszą walczyć o życie z trojgiem zamaskowanych morderców.",horror
3 days to kill,2014,"W zamian za wykonanie ostatniego zlecenia śmiertelnie chory agent poddany zostaje eksperymentalnej terapii, która może uratować jego życie.",thriller
the punisher,2004,"Brutalny mafiozo, Howard Saint, morduje rodzinę agenta FBI, Franka Castle. Zrozpaczony mężczyzna poprzysięga krwawą zemstę. ",thriller
finding forrester,2000,"Młody koszykarz, Jamal, zaprzyjaźnia się z żyjącym w odosobnieniu pisarzem. ",drama
jungle,2017,Trzech przyjaciół zwiedzających Amerykę Południową postanawia przeżyć przygodę i wraz z tajemniczym przewodnikiem wybierają się na wyprawę do amazońskiej dżungli. ,thriller
woman in gold,2015,"Oparta na prawdziwych wydarzeniach historia Marii Altmann, która walczy z rządem Austrii o zwrot słynnego obrazu Gustava Klimta.​",drama
unfaithful,2002,"Connie, by przerwać rutynę życia małżeńskiego, wdaje się w romans z młodszym od siebie Francuzem.",drama
murder mystery,2019,"W trakcie europejskich wakacji na jachcie miliardera nowojorski policjant i jego żona stają się głównymi podejrzanymi, gdy gospodarz zostaje zamordowany.",comedy
precious,2009,"Clareece zwanej ""skarbem"" nie jest łatwo: ojciec ją molestuje, a matka poniża na każdym kroku. Mimo to, nastolatka podejmuje naukę i stara się nadać sens swojemu życiu.&nbsp;",drama
cmon cmon,2021,Dziennikarz radiowy wyrusza wraz ze swoim siostrzeńcem w podróż przez kraj. ,drama
le tout nouveau testament,2015,"W Brukseli Bóg spędza swój czas oglądając telewizję, dokuczając żonie oraz snując plany jak uprzykrzać ludziom życie. Pewnego dnia jego córka postanawia odnowić świat. ",comedy
[rec]2,2009,Do budynku objętego kwarantanną wchodzi grupa antyterrorystyczna GEO wraz z lekarzem. Cała operacja jest nagrywana na kamerkach agentów. ,horror
the gift,2015,"Spotkany po latach kolega ze szkoły Simona staje się nowym przyjacielem domu. Okazuje się, że mężczyzna nie ma dobrych zamiarów. ",thriller
dr. no,1962,James Bond musi przeszkodzić Doktorowi No w zniszczeniu programu kosmicznego USA. ,thriller
saw iv,2007,Po śmierci Jigsawa ktoś kontynuuje jego dzieło. Tym razem ofiarami krwawej gry stają się dwaj agenci FBI.,horror
half nelson,2006,Uzależniony od narkotyków nauczyciel historii nawiązuje przyjaźń z uczennicą. ,drama
of mice and men,1992,"Ekranizacja powieści Johna Steinbecka. Dwóch przyjaciół przemierza Stany Zjednoczone w czasach ""wielkiego kryzysu"" poszukując pracy na wiejskich farmach. ",drama
february,2015,Dwóm uczennicom przydarza się seria niewytłumaczalnych i niebezpiecznych zdarzeń.,horror
paulette,2012,"Gdy w ręce zgorzkniałej i pokłóconej z całym światem staruszki trafia nieoczekiwanie paczka z haszyszem, kobieta postanawia skorzystać z możliwości zarobku.",comedy
